StockCode,aisle,aisle_id
10002,['INFLATABLE POLITICAL GLOBE '],10002
10080,['GROOVY CACTUS INFLATABLE'],10080
10120,['DOGGY RUBBER'],10120
10125,['MINI FUNKY DESIGN TAPES'],10125
10133,['COLOURING PENCILS BROWN TUBE'],10133
10135,['COLOURING PENCILS BROWN TUBE'],10135
11001,['ASSTD DESIGN RACING CAR PEN'],11001
15030,['FAN BLACK FRAME '],15030
15034,['PAPER POCKET TRAVELING FAN '],15034
15036,['ASSORTED COLOURS SILK FAN'],15036
15039,['SANDALWOOD FAN'],15039
16008,['SMALL FOLDING SCISSOR(POINTED EDGE)'],16008
16010,['FOLDING CAMPING SCISSOR W/KNIF & S'],16010
16011,['ANIMAL STICKERS'],16011
16012,['FOOD/DRINK SPONGE STICKERS'],16012
16014,['SMALL CHINESE STYLE SCISSOR'],16014
16015,['MEDIUM CHINESE STYLE SCISSOR'],16015
16016,['LARGE CHINESE STYLE SCISSOR'],16016
16033,['MINI HIGHLIGHTER PENS'],16033
16043,['POP ART PUSH DOWN RUBBER '],16043
16045,['POPART WOODEN PENCILS ASST'],16045
16046,['TEATIME PEN CASE & PENS'],16046
16048,['TEATIME ROUND PENCIL SHARPENER '],16048
16049,['TEATIME GEL PENS ASST'],16049
16052,['TEATIME PUSH DOWN RUBBER'],16052
16054,['POPART RECT PENCIL SHARPENER ASST'],16054
16216,['LETTER SHAPE PENCIL SHARPENER'],16216
16218,['CARTOON  PENCIL SHARPENERS'],16218
16219,['HOUSE SHAPE PENCIL SHARPENER'],16219
16225,['RATTLE SNAKE EGGS'],16225
16235,['RECYCLED PENCIL WITH RABBIT ERASER'],16235
16236,['KITTY PENCIL ERASERS'],16236
16237,['SLEEPING CAT ERASERS'],16237
16238,['PARTY TIME PENCIL ERASERS'],16238
16254,['TRANSPARENT ACRYLIC TAPE DISPENSER'],16254
16259,['PIECE OF CAMO STATIONERY SET'],16259
17001,['HEAVENS SCENT FRAGRANCE OILS ASSTD'],17001
17003,['BROCADE RING PURSE '],17003
17021,['NAMASTE SWAGAT INCENSE'],17021
17038,['PORCELAIN BUDAH INCENSE HOLDER'],17038
17096,['ASSORTED LAQUERED INCENSE HOLDERS'],17096
17174,['ASSTD RASTA KEY-CHAINS'],17174
18007,['ESSENTIAL BALM 3.5g TIN IN ENVELOPE'],18007
20615,['BLUE POLKADOT PASSPORT COVER'],20615
20616,['CHERRY BLOSSOM PASSPORT COVER'],20616
20617,['FIRST CLASS PASSPORT COVER '],20617
20618,['QUEEN OF THE SKIES PASSPORT COVER '],20618
20619,['TROPICAL PASSPORT COVER '],20619
20622,['VIPPASSPORT COVER ' 'VIP PASSPORT COVER '],20622
20652,['BLUE POLKADOT LUGGAGE TAG '],20652
20653,['CHERRY BLOSSOM LUGGAGE TAG'],20653
20654,['FIRST CLASS LUGGAGE TAG '],20654
20655,['QUEEN OF SKIES LUGGAGE TAG'],20655
20657,['TROPICAL LUGGAGE TAG'],20657
20658,['RED RETROSPOT LUGGAGE TAG'],20658
