order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1029,743,test,1,2,13,0
2289,743,train ,2,2,15,7
2666,743,train ,3,4,14,2
3799,743,extra test ,4,4,11,21
3897,743,extra test ,5,5,9,1
4630,743,prior,6,5,9,7
5046,743,prior,7,2,16,4
5911,743,prior,8,5,10,10
6256,743,prior,9,2,8,4
6568,743,prior,10,4,10,2
7826,743,prior,11,4,16,14
7827,743,prior,12,4,16,0
8424,743,prior,13,4,12,7
9635,743,prior,14,3,14,13
10367,743,prior,15,4,11,8
11214,743,prior,16,5,10,8
12133,743,prior,17,5,13,7
12628,743,prior,18,3,13,5
13387,743,prior,19,3,10,7
13948,743,prior,20,1,11,5
15286,743,prior,21,3,12,16
16787,743,prior,22,6,14,10
16788,743,prior,23,6,14,0
16988,743,prior,24,2,13,3
18001,743,prior,25,3,10,8
19179,743,prior,26,1,12,12
19451,743,prior,27,3,11,2
20914,743,prior,28,1,12,12
21400,743,prior,29,4,14,3
22693,743,prior,30,4,9,14
23327,743,prior,31,2,15,5
24528,743,prior,32,5,17,10
24531,743,prior,33,5,17,0
25738,743,prior,34,3,14,12
26882,743,prior,35,2,10,13
28594,743,prior,36,4,13,16
28752,743,prior,37,5,11,1
28753,743,prior,38,5,11,0
31015,743,prior,39,3,10,19
31434,743,prior,40,5,12,2
31437,743,prior,41,5,12,0
32663,743,prior,42,6,10,8
33507,743,prior,43,5,15,6
34150,743,prior,44,3,10,5
35528,743,prior,45,4,14,8
36802,743,prior,46,6,9,9
38696,743,prior,47,3,12,11
39991,743,prior,48,2,16,6
40729,743,prior,49,5,16,3
41738,743,prior,50,4,8,6
43761,743,prior,51,5,17,8
44309,743,prior,52,2,14,4
5145,917,test,1,3,16,0
9326,917,train ,2,1,12,30
10178,917,extra test,3,2,15,8
11292,917,prior,4,5,12,10
11824,917,prior,5,3,15,5
12496,917,prior,6,2,13,6
14257,917,prior,7,3,13,15
14551,917,prior,8,5,13,2
14807,917,prior,9,3,16,5
15353,917,prior,10,3,15,7
16638,917,prior,11,5,15,9
16639,917,prior,12,5,15,0
17338,917,prior,13,4,14,6
18234,917,prior,14,4,11,7
18896,917,prior,15,4,15,7
20700,917,prior,16,5,15,15
20704,917,prior,17,5,15,0
22097,917,prior,18,4,15,13
