product_id;product_name;aisle_id;department_id
71053;WHITE METAL LANTERN;71053;1
22752;SET 7 BABUSHKA NESTING BOXES;22752;1
21730;GLASS STAR FROSTED T-LIGHT HOLDER;21730;1
22633;HAND WARMER UNION JACK;22633;1
22632;HAND WARMER RED POLKA DOT;22632;1
84879;ASSORTED COLOUR BIRD ORNAMENT;84879;1
22745;POPPY'S PLAYHOUSE BEDROOM ;22745;1
22748;POPPY'S PLAYHOUSE KITCHEN;22748;1
22749;FELTCRAFT PRINCESS CHARLOTTE DOLL;22749;1
22310;IVORY KNITTED MUG COSY ;22310;1
84969;BOX OF 6 ASSORTED COLOUR TEASPOONS;84969;1
22623;BOX OF VINTAGE JIGSAW BLOCKS ;22623;1
22622;BOX OF VINTAGE ALPHABET BLOCKS;22622;1
21754;HOME BUILDING BLOCK WORD;21754;1
21755;LOVE BUILDING BLOCK WORD;21755;1
21777;RECIPE BOX WITH METAL HEART;21777;1
48187;DOORMAT NEW ENGLAND;48187;1
22960;JAM MAKING SET WITH JARS;22960;1
22913;RED COAT RACK PARIS FASHION;22913;1
22912;YELLOW COAT RACK PARIS FASHION;22912;1
22914;BLUE COAT RACK PARIS FASHION;22914;1
21756;BATH BUILDING BLOCK WORD;21756;1
22728;ALARM CLOCK BAKELIKE PINK;22728;1
22727;ALARM CLOCK BAKELIKE RED ;22727;1
22726;ALARM CLOCK BAKELIKE GREEN;22726;1
21724;PANDA AND BUNNIES STICKER SHEET;21724;1
21883;STARS GIFT TAPE ;21883;1
10002;INFLATABLE POLITICAL GLOBE ;10002;1
21791;VINTAGE HEADS AND TAILS CARD GAME ;21791;1
21035;SET/2 RED RETROSPOT TEA TOWELS ;21035;1
22326;ROUND SNACK BOXES SET OF4 WOODLAND ;22326;1
22629;SPACEBOY LUNCH BOX ;22629;1
22659;LUNCH BOX I LOVE LONDON;22659;1
22631;CIRCUS PARADE LUNCH BOX ;22631;1
22661;CHARLOTTE BAG DOLLY GIRL DESIGN;22661;1
21731;RED TOADSTOOL LED NIGHT LIGHT;21731;1
22900; SET 2 TEA TOWELS I LOVE LONDON ;22900;1
21913;VINTAGE SEASIDE JIGSAW PUZZLES;21913;1
22540;MINI JIGSAW CIRCUS PARADE ;22540;1
22544;MINI JIGSAW SPACEBOY;22544;1
22492;MINI PAINT SET VINTAGE ;22492;1
22086;PAPER CHAIN KIT 50'S CHRISTMAS ;22086;1
20679;EDWARDIAN PARASOL RED;20679;1
37370;RETRO COFFEE MUGS ASSORTED;37370;1
21871;SAVE THE PLANET MUG;21871;1
21071;VINTAGE BILLBOARD DRINK ME MUG;21071;1
21068;VINTAGE BILLBOARD LOVE/HATE MUG;21068;1
82483;WOOD 2 DRAWER CABINET WHITE FINISH;82483;1
82486;WOOD S/3 CABINET ANT WHITE FINISH;82486;1
82482;WOODEN PICTURE FRAME WHITE FINISH;82482;1
21258;VICTORIAN SEWING BOX LARGE;21258;1
22114;HOT WATER BOTTLE TEA AND SYMPATHY;22114;1
21733;RED HANGING HEART T-LIGHT HOLDER;21733;1
22386;JUMBO BAG PINK POLKADOT;22386;1
21033;JUMBO BAG CHARLIE AND LOLA TOYS;21033;1
20723;STRAWBERRY CHARLOTTE BAG;20723;1
21094;SET/6 RED SPOTTY PAPER PLATES;21094;1
20725;LUNCH BAG RED RETROSPOT;20725;1
21559;STRAWBERRY LUNCH BOX WITH CUTLERY;21559;1
22352;LUNCH BOX WITH CUTLERY RETROSPOT ;22352;1
21212;PACK OF 72 RETROSPOT CAKE CASES;21212;1
21975;PACK OF 60 DINOSAUR CAKE CASES;21975;1
21977;PACK OF 60 PINK PAISLEY CAKE CASES;21977;1
84991;60 TEATIME FAIRY CAKE CASES;84991;1
21931;JUMBO STORAGE BAG SUKI;21931;1
21929;JUMBO BAG PINK VINTAGE PAISLEY;21929;1
22961;JAM MAKING SET PRINTED;22961;1
22139;RETROSPOT TEA SET CERAMIC 11 PC ;22139;1
84854;GIRLY PINK TOOL SET;84854;1
22411;JUMBO SHOPPER VINTAGE RED PAISLEY;22411;1
82567;AIRLINE LOUNGE,METAL SIGN;82567;1
21672;WHITE SPOT RED CERAMIC DRAWER KNOB;21672;1
22774;RED DRAWER KNOB ACRYLIC EDWARDIAN;22774;1
22771;CLEAR DRAWER KNOB ACRYLIC EDWARDIAN;22771;1
71270;PHOTO CLIP LINE;71270;1
22262;FELT EGG COSY CHICKEN;22262;1
22637;PIGGY BANK RETROSPOT ;22637;1
21934;SKULL SHOULDER BAG;21934;1
21169;YOU'RE CONFUSING ME METAL SIGN ;21169;1
21166;COOK WITH WINE METAL SIGN ;21166;1
21175;GIN + TONIC DIET METAL SIGN;21175;1
22083;PAPER CHAIN KIT RETROSPOT;22083;1
47580;TEA TIME DES TEA COSY;47580;1
22261;FELT EGG COSY WHITE RABBIT ;22261;1
84832;ZINC WILLIE WINKIE  CANDLE STICK;84832;1
22644;CERAMIC CHERRY CAKE MONEY BANK;22644;1
21533;RETROSPOT LARGE MILK JUG;21533;1
21557;SET OF 6 FUNKY BEAKERS;21557;1
22646;CERAMIC STRAWBERRY CAKE MONEY BANK;22646;1
22176;BLUE OWL SOFT TOY;22176;1
22438;BALLOON ART MAKE YOUR OWN FLOWERS;22438;1
22778;GLASS CLOCHE SMALL;22778;1
22719;GUMBALL MONOCHROME COAT RACK;22719;1
21523;DOORMAT FANCY FONT HOME SWEET HOME;21523;1
21912;VINTAGE SNAKES & LADDERS;21912;1
21832;CHOCOLATE CALCULATOR;21832;1
22379;RECYCLING BAG RETROSPOT ;22379;1
22381;TOY TIDY PINK POLKADOT;22381;1
22798;ANTIQUE GLASS DRESSING TABLE POT;22798;1
22926;IVORY GIANT GARDEN THERMOMETER;22926;1
22839;3 TIER CAKE TIN GREEN AND CREAM;22839;1
22838;3 TIER CAKE TIN RED AND CREAM;22838;1
22783;SET 3 WICKER OVAL BASKETS W LIDS;22783;1
82484;WOOD BLACK BOARD ANT WHITE FINISH;82484;1
84755;COLOUR GLASS T-LIGHT HOLDER HANGING;84755;1
22464;HANGING METAL HEART LANTERN;22464;1
21324;HANGING MEDINA LANTERN SMALL;21324;1
22457;NATURAL SLATE HEART CHALKBOARD ;22457;1
22469;HEART OF WICKER SMALL;22469;1
22470;HEART OF WICKER LARGE;22470;1
22224;WHITE LOVEBIRD LANTERN;22224;1
21340;CLASSIC METAL BIRDCAGE PLANT HOLDER;21340;1
22189;CREAM HEART CARD HOLDER;22189;1
22427;ENAMEL FLOWER JUG CREAM;22427;1
22428;ENAMEL FIRE BUCKET CREAM;22428;1
22424;ENAMEL BREAD BIN CREAM;22424;1
22663;JUMBO BAG DOLLY GIRL DESIGN;22663;1
22168;ORGANISER WOOD ANTIQUE WHITE ;22168;1
22662;LUNCH BAG DOLLY GIRL DESIGN;22662;1
84880;WHITE WIRE EGG HOLDER;84880;1
79321;CHILLI LIGHTS;79321;1
22780;LIGHT GARLAND BUTTERFILES PINK;22780;1
22779;WOODEN OWLS LIGHT GARLAND ;22779;1
22466;FAIRY TALE COTTAGE NIGHTLIGHT;22466;1
21363;HOME SMALL WOOD LETTERS;21363;1
21411;GINGHAM HEART  DOORSTOP RED;21411;1
22318;FIVE HEART HANGING DECORATION;22318;1
22915;ASSORTED BOTTLE TOP  MAGNETS ;22915;1
22922;FRIDGE MAGNETS US DINER ASSORTED;22922;1
22969;HOMEMADE JAM SCENTED CANDLES;22969;1
22923;FRIDGE MAGNETS LES ENFANTS ASSORTED;22923;1
21115;ROSE CARAVAN DOORSTOP;21115;1
22242;5 HOOK HANGER MAGIC TOADSTOOL;22242;1
22941;CHRISTMAS LIGHTS 10 REINDEER;22941;1
21622;VINTAGE UNION JACK CUSHION COVER;21622;1
22193;RED DINER WALL CLOCK;22193;1
22192;BLUE DINER WALL CLOCK;22192;1
22191;IVORY DINER WALL CLOCK;22191;1
22195;LARGE HEART MEASURING SPOONS;22195;1
22196;SMALL HEART MEASURING SPOONS;22196;1
22962;JAM JAR WITH PINK LID;22962;1
22963;JAM JAR WITH GREEN LID;22963;1
22968;ROSE COTTAGE KEEPSAKE BOX ;22968;1
22910;PAPER CHAIN KIT VINTAGE CHRISTMAS;22910;1
20668;DISCO BALL CHRISTMAS DECORATION;20668;1
22197;SMALL POPCORN HOLDER;22197;1
22198;LARGE POPCORN HOLDER ;22198;1
21080;SET/20 RED RETROSPOT PAPER NAPKINS ;21080;1
21086;SET/6 RED SPOTTY PAPER CUPS;21086;1
21786;POLKADOT RAIN HAT ;21786;1
22654;DELUXE SEWING KIT ;22654;1
21485;RETROSPOT HEART HOT WATER BOTTLE;21485;1
22174;PHOTO CUBE;22174;1
22556;PLASTERS IN TIN CIRCUS PARADE ;22556;1
21984;PACK OF 12 PINK PAISLEY TISSUES ;21984;1
21983;PACK OF 12 BLUE PAISLEY TISSUES ;21983;1
21980;PACK OF 12 RED RETROSPOT TISSUES ;21980;1
21484;CHICK GREY HOT WATER BOTTLE;21484;1
22557;PLASTERS IN TIN VINTAGE PAISLEY ;22557;1
22553;PLASTERS IN TIN SKULLS;22553;1
22150;3 STRIPEY MICE FELTCRAFT;22150;1
22619;SET OF 6 SOLDIER SKITTLES;22619;1
21891;TRADITIONAL WOODEN SKIPPING ROPE;21891;1
21889;WOODEN BOX OF DOMINOES;21889;1
22827;RUSTIC  SEVENTEEN DRAWER SIDEBOARD;22827;1
22127;PARTY CONES CARNIVAL ASSORTED;22127;1
22128;PARTY CONES CANDY ASSORTED;22128;1
22502;PICNIC BASKET WICKER SMALL;22502;1
22338;STAR DECORATION PAINTED ZINC ;22338;1
22180;RETROSPOT LAMP;22180;1
21506;FANCY FONT BIRTHDAY CARD, ;21506;1
22866;HAND WARMER SCOTTY DOG DESIGN;22866;1
22865;HAND WARMER OWL DESIGN;22865;1
22632;HAND WARMER RED RETROSPOT;22632;1
22349;DOG BOWL CHASING BALL DESIGN;22349;1
22558;CLOTHES PEGS RETROSPOT PACK 24 ;22558;1
85152;HAND OVER THE CHOCOLATE   SIGN ;85152;1
22652;TRAVEL SEWING KIT;22652;1
22188;BLACK HEART CARD HOLDER;22188;1
21314;SMALL GLASS HEART TRINKET POT;21314;1
22730;ALARM CLOCK BAKELIKE IVORY;22730;1
22729;ALARM CLOCK BAKELIKE ORANGE;22729;1
22867;HAND WARMER BIRD DESIGN;22867;1
22803;IVORY EMBROIDERED QUILT ;22803;1
21844;RED RETROSPOT MUG;21844;1
22468;BABUSHKA LIGHTS STRING OF 10;22468;1
48185;DOORMAT FAIRY CAKE;48185;1
21232;STRAWBERRY CERAMIC TRINKET BOX;21232;1
22064;PINK DOUGHNUT TRINKET POT ;22064;1
22449;SILK PURSE BABUSHKA PINK;22449;1
22835;HOT WATER BOTTLE I AM SO POORLY;22835;1
22112;CHOCOLATE HOT WATER BOTTLE;22112;1
21479;WHITE SKULL HOT WATER BOTTLE ;21479;1
